,https://roic.ai/company/ACGL,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
88,Other Investing Activites,- -,- -,- -,- -,-51856000,6000,204000,-18833000,- -,- -,-1735351000,-1578092000,-612347000,750195000,534412000,- -,- -,6190000,-55643000,57470000,-43655000,-201153000,123010000,202619000,-410679000,19013000,-873066000
89,Cash Used for Investing Activites,-334500000,-30717000,-41514000,-65817000,-10296000,-4145000,-736191000,-828473000,-1852546000,-2011886000,-2256067000,-1836337000,-1585077000,58387000,-129760000,16097000,-538420000,-395968000,-1307513000,-1505421000,-913875000,-2721543000,-1359996000,-554020000,-1806483000,-3043226000,-2139732000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,-450000,-68000,-200000000,-200000000,- -,- -,- -,- -,-1103000,-157057000,-15352000,-310868000,- -,- -,- -,-219171000,-197000000,-576401000,-49182000,-359000000,- -
91,Common Stock Issued,322100000,1699000,728000,716000,156000,1352000,10923000,254338000,6090000,187531000,21696000,19683000,13498000,21881000,9966000,27649000,6332000,7033000,3051000,6827000,4861000,- -,- -,- -,6203000,1876000,6418000
92,Common Stock Repurchased,- -,- -,-198000,-86000,-103000,3430000,-10971000,-13102000,-906000,-1682000,-1447000,- -,-537066000,-513130000,-458402000,-761874000,-287561000,-497056000,-57796000,-454137000,-365383000,-77674000,-251048000,-382925000,-2871000,-83472000,-1684294000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-17353000,-25844000,-25844000,-25844000,-25844000,-25844000,-28381000,-21938000,-21938000,-21938000,-28070000,-46041000,-41645000,-41612000,-41612000,-48280000
94,Other Financing Activites,13400000,-1487000,-506000,-296000,117000,-1242000,740807000,- -,400000000,296442000,893379000,317833000,617270000,-647719000,-310214000,131489000,-14710000,316237000,600701000,1009191000,377804000,1960584000,490684000,12161000,6800000,1003486000,496607000
95,Cash Used/Provided by Financing Activities,335500000,212000,24000,334000,170000,3540000,740309000,241168000,205184000,282291000,913628000,320163000,67858000,-1164812000,-785597000,-785637000,-337135000,-513035000,524018000,539943000,-4656000,1635669000,-3405000,-988810000,-80662000,521278000,-1229549000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,-689000,-157000,1758000,3661000,-20849000,5542000,-4365000,-1598000,6742000,-4357000,-20007000,-11751000,-21154000,14041000,-19133000,17741000,22289000,-34047000
97,Net Change In Cash,335500000,484000,7638000,3023000,-2580000,2024000,-1511000,81747000,-34818000,56153000,109425000,94540000,-77102000,11824000,82832000,28169000,-11041000,19342000,63016000,51645000,67624000,289616000,-236743000,-2641000,179055000,386846000,24227000
98,Cash at the End of Period,- -,1466000,9104000,12037000,9457000,11481000,9970000,91717000,56899000,113052000,222477000,317017000,239915000,251739000,334571000,362740000,351699000,371041000,434057000,485702000,553326000,842942000,606199000,724643000,903698000,1290544000,1314771000
99,Cash at the Beginning of Period,100000,982000,1466000,9014000,12037000,9457000,11481000,9970000,91717000,56899000,113052000,222477000,317017000,239915000,251739000,334571000,362740000,351699000,371041000,434057000,485702000,553326000,842942000,727284000,724643000,903698000,1290544000
100,Free Cash Flow,-200000,28130000,48128000,68254000,7208000,2629000,-11940000,651342000,1581055000,1770982000,1438353000,1595716000,1408460000,1129597000,973164000,790410000,847125000,903071000,833369000,1017247000,982170000,1381341000,1089776000,1529513000,2010622000,2846633000,3386161000
