,https://roic.ai/company/NHTC,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
81,Other Working Capital,698481,-4917602,-2016734,-6455055,-5864829,-3521871,751260,3838837,17519000,11296000,1038000,-3194000,-4061000,-4550000,-5619000,-3102000,-473000,3420000,25188000,56139000,84090000,109322000,107103000,82073000,78235000,5482000
82,Other Non-Cash Items,22000,10415982,-6940481,10602372,7983884,-3601580,-4141819,530138,-15274163,11162000,12419000,14446000,-535000,3484000,1865000,-3706000,-3128000,2512000,-11636000,2800000,-30578000,-21132000,112000,12436000,3131000,1163000
83,Cash Provided by Operating Activities,-802074,-2357551,-4777957,-715085,-1730789,34079,4703030,9528199,428000,1426000,-7404000,-13216000,-2730000,-1644000,-292000,1463000,2214000,10686000,30613000,81326000,53174000,26605000,29710000,-18638000,1885000,1016000
84,CAPEX,-438650,-611863,-7510,-127077,-7421,-141199,-706360,-556987,-150000,-3120000,-1815000,-341000,-299000,-5000,-2000,-7000,-96000,-210000,-339000,-710000,-905000,-278000,-214000,-189000,-211000,-225000
85,Acquisitions Net,-11388,20241,- -,- -,-27587,- -,- -,- -,-1357000,- -,2000000,1183000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-27505,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,105000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-438650,-2575863,4342190,-1649442,10533,-160975,-227076,-1226147,-1121000,-5327000,363000,808000,497000,3363000,-1000,-136000,493000,-82000,- -,-3028000,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-450038,-2555622,4342190,-1676947,-24475,-302174,-933436,-1783134,-2628000,-8447000,653000,1650000,198000,3358000,-3000,-136000,397000,-292000,-339000,-3738000,-905000,-278000,-214000,-189000,-211000,-225000
90,Debt Repayment,-44215,-2469595,-940000,-471914,- -,- -,- -,- -,- -,- -,- -,- -,-541000,-3754000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,1050000,100000,- -,- -,16078000,3491000,18000,2650000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-3717797,-1552305,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3000,-52000,-4661000,-16071000,-23704000,- -,- -,-10117000,- -,- -
93,Dividends Paid,- -,- -,- -,1542590,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-476000,-1709000,-6891000,-17218000,-31512000,-7344000,-9138000,-9138000
94,Other Financing Activites,899032,6970229,5283000,3013504,379620,349029,-222637,-338842,-2600000,-709000,-23000,3298000,145000,- -,-58000,-4000,- -,- -,4948000,309000,- -,- -,- -,- -,- -,- -
95,Cash Used/Provided by Financing Activities,854817,4500634,625203,2531875,1429620,449029,-222637,-338842,13478000,2782000,-5000,5948000,-396000,-3754000,-58000,-4000,-3000,-52000,-189000,-17471000,-30595000,-17218000,-31512000,-17461000,-9138000,-9138000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,34962,-7326,-137094,-87000,385000,222000,-36000,137000,101000,-551000,-354000,-18000,1000,181000,-19000,-667000,281000,-811000,62000,931000,-180000
97,Net Change In Cash,-397295,-412539,189436,139843,-325644,215896,3539631,7269129,11191000,-3854000,-6534000,-5654000,-2791000,-1939000,-904000,969000,2590000,10343000,30266000,60098000,21007000,9390000,-2827000,-36226000,-6533000,-8527000
98,Cash at the End of Period,517323,104784,294220,434063,108419,324315,3863946,11133075,22324000,18470000,11936000,6282000,3491000,1552000,648000,1617000,4207000,14550000,44816000,104914000,125921000,135311000,135651000,99425000,92892000,84365000
99,Cash at the Beginning of Period,914618,517323,104784,294220,434063,108419,324315,3863946,11133000,22324000,18470000,11936000,6282000,3491000,1552000,648000,1617000,4207000,14550000,44816000,104914000,125921000,138478000,135651000,99425000,92892000
100,Free Cash Flow,-1240724,-2969414,-4785467,-842162,-1738210,-107120,3996670,8971212,278000,-1694000,-9219000,-13557000,-3029000,-1649000,-294000,1456000,2118000,10476000,30274000,80616000,52269000,26327000,29496000,-18827000,1674000,791000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/912061/000095013405006593/d23901e10vk.htm,https://www.sec.gov/Archives/edgar/data/912061/000095013406013790/d38059e10vk.htm,https://www.sec.gov/Archives/edgar/data/912061/000095013407006821/d45036e10vk.htm,https://www.sec.gov/Archives/edgar/data/912061/000095013408005706/d55366e10vk.htm,https://www.sec.gov/Archives/edgar/data/912061/000136231009004213/0001362310-09-004213-index.html,- -,https://www.sec.gov/Archives/edgar/data/912061/000143774911008593/nhtc_10k-123110.htm,https://www.sec.gov/Archives/edgar/data/912061/000143774912002813/0001437749-12-002813-index.html,https://www.sec.gov/Archives/edgar/data/912061/000143774913002702/0001437749-13-002702-index.html,https://www.sec.gov/Archives/edgar/data/912061/000143774914003670/nhtc20131231_10k.htm,https://www.sec.gov/Archives/edgar/data/912061/000143774915004253/nhtc20141231_10k.htm,https://www.sec.gov/Archives/edgar/data/912061/000091206116000018/0000912061-16-000018-index.html,https://www.sec.gov/Archives/edgar/data/912061/000091206117000012/0000912061-17-000012-index.html,https://www.sec.gov/Archives/edgar/data/912061/000091206118000015/0000912061-18-000015-index.html,https://www.sec.gov/Archives/edgar/data/912061/000091206119000029/nhtc2018123110k.htm,https://www.sec.gov/Archives/edgar/data/912061/000091206120000014/0000912061-20-000014-index.html,https://www.sec.gov/Archives/edgar/data/912061/000143774921004259/0001437749-21-004259-index.htm,https://www.sec.gov/Archives/edgar/data/912061/000143774922004467/0001437749-22-004467-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,
