,https://roic.ai/company/ATSG,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,466000,3095000,11464000,-70752000,-92821000,-78700000,-201936000,-149471000,-104388000,-108582000,-151873000,-252097000,-296558000,17570000,10804000,24583000,19427000
89,Cash Used for Investing Activites,- -,- -,- -,-98401000,-88524000,-73668000,-80331000,-86666000,-455866000,-24982000,-92795000,-78700000,-200186000,-149471000,-104388000,-123582000,-151873000,-269492000,-298375000,-1141903000,-467058000,-499167000,-487476000
90,Debt Repayment,- -,- -,- -,-6493000,-96353000,-7333000,-7953000,-8959000,-12971000,-118326000,-43074000,-70249000,-214424000,-26223000,-53766000,-79221000,-69344000,-44069000,-254446000,-58640000,-39500000,-689380000,-1900311000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10345000,-63570000,-11184000,-3581000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,-72823000,146512000,-525000,-103000,34953000,369383000,38500000,- -,- -,262464000,50000000,80000000,52879000,45000000,182700000,345354000,932722000,96499000,669763000,1834007000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,-79316000,50159000,-7858000,-8056000,25994000,356412000,-79826000,-43074000,-70249000,48040000,23777000,26234000,-26342000,-34689000,75061000,79724000,870501000,56999000,-19617000,-66304000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,63068000,-24352000,30724000,-6254000,-3948000,56843000,-32885000,-36686000,-16040000,-15061000,16257000,-1139000,-12863000,-1339000,16341000,26623000,-13121000,-6482000,29777000
98,Cash at the End of Period,- -,- -,- -,33000,63101000,38749000,69473000,63219000,59271000,116114000,83229000,46543000,30503000,15442000,31699000,30560000,17697000,16358000,32699000,59322000,46201000,39719000,69496000
99,Cash at the Beginning of Period,- -,- -,- -,33000,33000,63101000,38749000,69473000,63219000,59271000,116114000,83229000,46543000,30503000,15442000,31699000,30560000,17697000,16358000,32699000,59322000,46201000,39719000
100,Free Cash Flow,- -,- -,- -,79316000,12909000,-16494000,58426000,-34585000,-64660000,49774000,1757000,1582000,-76977000,-44610000,-18301000,36601000,14985000,-71385000,-61947000,5110000,-56564000,1885000,78809000
101,SEC Link,undefined,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/894081/000119312504049003/0001193125-04-049003-index.htm,https://www.sec.gov/Archives/edgar/data/894081/000119312505052926/0001193125-05-052926-index.htm,https://www.sec.gov/Archives/edgar/data/894081/000119312506056878/0001193125-06-056878-index.htm,https://www.sec.gov/Archives/edgar/data/894081/000119312507057224/0001193125-07-057224-index.htm,https://www.sec.gov/Archives/edgar/data/894081/000119312508059080/0001193125-08-059080-index.htm,https://www.sec.gov/Archives/edgar/data/894081/000119312509061133/0001193125-09-061133-index.htm,https://www.sec.gov/Archives/edgar/data/894081/000119312510073553/0001193125-10-073553-index.htm,https://www.sec.gov/Archives/edgar/data/894081/000089408111000006/0000894081-11-000006-index.htm,https://www.sec.gov/Archives/edgar/data/894081/000089408112000010/0000894081-12-000010-index.htm,https://www.sec.gov/Archives/edgar/data/894081/000089408113000015/0000894081-13-000015-index.htm,https://www.sec.gov/Archives/edgar/data/894081/000089408114000037/0000894081-14-000037-index.htm,https://www.sec.gov/Archives/edgar/data/894081/000089408115000056/0000894081-15-000056-index.htm,https://www.sec.gov/Archives/edgar/data/894081/000089408116000225/0000894081-16-000225-index.htm,https://www.sec.gov/Archives/edgar/data/894081/000089408117000036/0000894081-17-000036-index.htm,https://www.sec.gov/Archives/edgar/data/894081/000089408118000040/0000894081-18-000040-index.htm,https://www.sec.gov/Archives/edgar/data/894081/000089408119000040/0000894081-19-000040-index.htm,https://www.sec.gov/Archives/edgar/data/894081/000089408120000039/0000894081-20-000039-index.htm,https://www.sec.gov/Archives/edgar/data/894081/000089408121000045/0000894081-21-000045-index.htm,https://www.sec.gov/Archives/edgar/data/894081/000089408122000034/0000894081-22-000034-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,
