,https://roic.ai/company/SBOW,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
66,Other Total Stockholders Equity,3300000,4000000,5600000,7700000,16100000,20300000,24600000,35900000,43400000,46300000,101400000,148400000,209700000,338000000,421800000,572020636,732279363,828939269,894502103,984548007,1108419876,1303443889,1389551000,- -,2756308000,3075203000,3313685000,3581786000,3923850000,4601235000,6351721000,402121000,494428000,569215000,671362000,295340000,292364000
67,Total Stockholders Equity,5400000,6600000,10900000,15800000,27800000,35700000,38700000,49300000,54500000,42100000,93300000,142800000,159400000,109400000,170400000,332154155,312652720,365073184,397391264,474172140,607318167,797916972,836054000,600877000,678899000,880017000,996509000,1036860000,1033216000,794378000,-852724000,76055000,193458000,274827000,395707000,91033000,292532000
68,Total Liabilities And Stockholders Equity,14800000,15700000,23700000,31500000,84800000,118200000,101400000,100200000,160900000,135700000,175300000,310400000,339100000,403600000,454300000,572387001,671684833,767005859,861054932,990573147,1204412622,1585681758,1969051000,1517288000,1434765000,1746375000,2212469000,2444061000,2643593000,2173347000,524998000,377299000,551270000,777520000,959816000,583135000,819454000
69,Minority Interest,- -,- -,- -,- -,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,14800000,15700000,23700000,31500000,85000000,118200000,101400000,100200000,160900000,135700000,175300000,310400000,339100000,403600000,454300000,572387001,671684833,767005859,861054932,990573147,1204412622,1585681758,1969051000,1517288000,1434765000,1746375000,2212469000,2444061000,2643593000,2173347000,524998000,377299000,551270000,777520000,959816000,583135000,819454000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/351817/000035181708000011/0000351817-08-000011-index.htm,- -,https://www.sec.gov/Archives/edgar/data/351817/000035181710000006/0000351817-10-000006-index.html,https://www.sec.gov/Archives/edgar/data/351817/000035181711000012/0000351817-11-000012-index.htm,https://www.sec.gov/Archives/edgar/data/351817/000035181712000006/0000351817-12-000006-index.html,https://www.sec.gov/Archives/edgar/data/351817/000035181713000007/0000351817-13-000007-index.html,https://www.sec.gov/Archives/edgar/data/351817/000035181714000009/0000351817-14-000009-index.htm,https://www.sec.gov/Archives/edgar/data/351817/000035181715000006/a2014-10k.htm,https://www.sec.gov/Archives/edgar/data/351817/000035181716000042/0000351817-16-000042-index.html,https://www.sec.gov/Archives/edgar/data/351817/000035181717000011/0000351817-17-000011-index.html,https://www.sec.gov/Archives/edgar/data/351817/000035181718000004/0000351817-18-000004-index.html,https://www.sec.gov/Archives/edgar/data/351817/000035181719000004/0000351817-19-000004-index.html,https://www.sec.gov/Archives/edgar/data/351817/000035181720000004/0000351817-20-000004-index.html,https://www.sec.gov/Archives/edgar/data/351817/000035181721000005/0000351817-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/351817/000035181722000009/0000351817-22-000009-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,800000,1100000,- -,4700000,5700000,7200000,2500000,4100000,4900000,-13100000,4900000,19000000,22300000,-48200000,19300000,60443724,-22347765,11923227,29893812,68450917,115778456,161565340,21287000,-260490000,-39330000,46294000,98821000,20939000,-19032000,-283427000,-1653971000,- -,71971000,74615000,114656000,-309382000,86759000
74,Depreciation and Amortization,400000,600000,- -,1900000,2100000,3600000,3800000,4900000,7300000,7900000,8800000,16500000,24200000,39300000,42300000,47771393,59502040,56224392,63072057,81580828,107477787,169295774,188393000,222288000,- -,- -,- -,- -,- -,- -,- -,56875000,- -,- -,- -,- -,- -
75,Deferred Income Tax,- -,- -,- -,- -,1900000,2900000,900000,500000,1200000,1000000,2300000,8400000,10100000,-25600000,10400000,33413626,-12555618,6482724,16332492,32513325,61911095,90027972,86474000,-164498000,-13377000,32881000,48995000,16798000,-6766000,-150357000,-80133000,- -,- -,1014000,-22101000,21390000,6212000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9232000,10256000,12625000,13476000,10478000,7309000,4435000,3618000,6849000,5980000,6148000,4557000,- -
77,Change in Working Capital,- -,-300000,- -,-600000,5900000,-4400000,-4000000,5900000,6800000,-22800000,16400000,65400000,-67200000,2300000,12700000,-38951892,-14040463,19376370,-17983073,20866763,30866416,-70036368,43191247,-65202000,80409000,-6966000,118327000,-213300000,6615000,6078000,-186956000,213561000,24717000,-6760000,11850000,4771000,-6209000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2666000,-6691000,-12625000,3235000,-5779000,21411000,26747000,16812000,-7169000,-20470000,11605000,9011000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2102000,5582000,1505000,-15003000,-9682000,6089000,-2686000,-7100000,-977000,- -
