,https://roic.ai/company/LOGI,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
92,Common Stock Repurchased,-3200000,-14800000,- -,-4000000,- -,-1065000,-15043000,-63822000,-79162000,-134525000,-241352000,-138095000,-219742000,-78870000,-126301000,- -,-156036000,-89955000,- -,-1663000,-70358000,-83786000,-30722000,-32449000,-50437000,-164952000
93,Dividends Paid,- -,-1600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-133462000,-36123000,-43767000,-85915000,-93093000,-104248000,-113971000,-124180000,-146705000
94,Other Financing Activites,-21600000,-19600000,-12200000,18900000,-5821000,35211000,11848000,1637000,-1331000,-4548000,5192000,10895000,3492000,37711000,31731000,46424000,16662000,13633000,13442000,-3424000,14604000,30823000,7097000,-12713000,-2039000,11728000
95,Cash Used/Provided by Financing Activities,-21400000,1100000,-300000,19100000,-5821000,45195000,13194000,-46556000,-49089000,-93088000,-186954000,-82494000,-165647000,-41159000,-108200000,46424000,-139374000,-209784000,-22681000,-48854000,-141669000,-146056000,-127873000,-159133000,-176656000,-299929000
96,Effect of Forex Changes on Cash,-500000,-800000,-1500000,-200000,-929000,-3406000,-2316000,1681000,-1144000,-3027000,-6820000,-90000,5502000,-35901000,-2044000,-5127000,-5119000,-1571000,-349000,-13863000,1405000,-5370000,4730000,-10134000,-7060000,-3966000
97,Net Change In Cash,-21400000,1100000,-300000,-29100000,6175000,-5284000,98959000,75633000,76019000,46524000,-96263000,-48817000,286155000,10407000,-172815000,157987000,439000,-144546000,135588000,67626000,-17843000,28338000,94414000,-37431000,111050000,1034761000
98,Cash at the End of Period,- -,- -,- -,43300000,49426000,44142000,143101000,218734000,294753000,341277000,245014000,196197000,482352000,492759000,319944000,477931000,478370000,333824000,469412000,537038000,519195000,547533000,641947000,604516000,715566000,1750327000
99,Cash at the Beginning of Period,36300000,28600000,38500000,72400000,43251000,49426000,44142000,143101000,218734000,294753000,341277000,245014000,196197000,482352000,492759000,319944000,477931000,478370000,333824000,469412000,537038000,519195000,547533000,641947000,604516000,715566000
100,Free Cash Flow,-3500000,9400000,30500000,-8000000,14994000,-4781000,90654000,116451000,141742000,173133000,98115000,256579000,335179000,152324000,325425000,113512000,148335000,70045000,158763000,133379000,126496000,246924000,306513000,269251000,385516000,1382449000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1032975/000120677409001138/0001206774-09-001138-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1032975/000119312511153485/0001193125-11-153485-index.htm,https://www.sec.gov/Archives/edgar/data/1032975/000104746912006385/0001047469-12-006385-index.htm,https://www.sec.gov/Archives/edgar/data/1032975/000104746913006614/0001047469-13-006614-index.htm,https://www.sec.gov/Archives/edgar/data/1032975/000104746914009167/0001047469-14-009167-index.htm,https://www.sec.gov/Archives/edgar/data/1032975/000103297515000023/0001032975-15-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1032975/000103297516000083/0001032975-16-000083-index.htm,https://www.sec.gov/Archives/edgar/data/1032975/000103297517000016/0001032975-17-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1032975/000103297518000016/0001032975-18-000016-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1032975/000103297520000015/0001032975-20-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1032975/000103297521000017/0001032975-21-000017-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,
